Date CSpd RSpd
"2002/7/27/12" 5.6 9.2079
"2002/7/27/18" 5.4 4.8375
"2002/7/28/0" 5.3 5.8893
"2002/7/28/6" 7.9 4.7797
"2002/7/28/12" 7.0 8.6805
"2002/7/28/18" 5.0 2.2834
"2002/7/29/0" 4.4 2.1955
"2002/7/29/6" 2.7 0.7050
"2002/7/29/12" 6.1 5.1815
"2002/7/29/18" 5.8 6.4170
"2002/7/30/0" 7.9 8.2344
"2002/7/30/6" 5.8 2.0797
"2002/7/30/12" 5.5 1.7690
"2002/7/30/18" 8.2 7.4445
"2002/7/31/0" 7.6 6.1566
"2002/7/31/6" 10.6 8.8220
"2002/7/31/12" 7.2 3.9621
"2002/7/31/18" 8.9 1.8845
"2002/8/1/0" 6.6 3.7210
"2002/8/1/6" 13.1 10.3606
"2002/8/1/12" 15.2 21.5272
"2002/8/1/18" 12.8 7.8881
"2002/8/2/0" 8.5 7.6693
"2002/8/2/6" 4.7 2.0262
"2002/8/2/12" 2.4 0.2221
"2002/8/2/18" 8.1 11.5424
"2002/8/3/0" 11.9 9.6881
"2002/8/3/6" 13.8 13.2352
"2002/8/3/12" 14.1 10.0731
"2002/8/3/18" 4.4 4.2373
"2002/8/4/0" 8.7 8.0640
"2002/8/4/6" 11.7 8.6384
"2002/8/4/12" 9.1 11.4211
"2002/8/4/18" 11.6 6.1669
"2002/8/5/0" 9.7 6.8454
"2002/8/5/6" 8.9 6.2809
"2002/8/5/12" 9.9 7.6808
"2002/8/5/18" 11.9 7.2060
"2002/8/6/0" 11.2 9.8646
"2002/8/6/6" 11.4 10.3187
"2002/8/6/12" 14.2 7.8105
"2002/8/6/18" 9.2 9.9549
"2002/8/7/0" 11.6 8.3251
"2002/8/7/6" 14.6 11.5048
"2002/8/7/12" 14.3 14.4600
"2002/8/8/12" 12.2 12.8858
"2002/8/8/18" 8.3 6.2357
"2002/8/9/0" 12.0 6.8073
"2002/8/9/6" 12.1 3.1874
"2002/8/9/12" 8.7 8.3400
"2002/8/9/18" 6.6 5.7390
"2002/8/10/0" 6.6 7.9220
"2002/8/10/6" 12.0 9.7398
"2002/8/10/12" 12.3 13.6352
"2002/8/10/18" 11.6 9.2942
"2002/8/11/0" 5.3 4.3920
"2002/8/11/6" 6.9 4.1190
"2002/8/11/12" 10.5 9.9016
"2002/8/11/18" 8.5 7.3055
"2002/8/12/0" 5.6 3.2652
"2002/8/12/6" 11.3 10.7823
"2002/8/12/12" 11.3 14.9196
"2002/8/12/18" 11.9 9.3617
"2002/8/13/0" 6.7 8.2217
"2002/8/13/6" 6.6 4.6036
"2002/8/13/12" 5.4 5.0589
"2002/8/13/18" 6.7 3.4998
"2002/8/14/0" 8.7 3.7150
"2002/8/14/6" 10.1 8.4961
"2002/8/14/12" 9.0 9.6626
"2002/8/14/18" 4.7 4.2435
"2002/8/15/0" 4.0 4.5971
"2002/8/15/6" 8.0 4.6564
"2002/8/15/12" 12.0 13.9688
"2002/8/15/18" 12.6 7.2988
"2002/9/1/0" 12.8 9.7852
"2002/9/1/6" 12.1 8.0923
"2002/9/1/12" 5.1 3.3266
"2002/9/1/18" 6.1 3.1373
"2002/9/2/0" 8.0 0.6100
"2002/9/2/6" 11.0 6.6995
"2002/9/2/12" 14.6 16.9677
"2002/9/2/18" 14.8 10.0819
"2002/9/3/0" 10.6 9.5594
"2002/9/3/6" 6.7 6.1269
"2002/9/3/12" 6.3 10.0151
"2002/9/3/18" 8.3 8.7322
"2002/9/4/0" 10.8 10.0037
"2002/9/4/6" 12.8 12.3131
"2002/9/4/12" 14.4 13.9138
"2002/9/4/18" 15.2 11.6049
"2002/9/5/0" 13.8 10.5013
"2002/9/5/6" 11.7 10.0145
"2002/9/5/12" 9.2 7.7741
"2002/9/5/18" 7.0 6.6374
"2002/9/6/0" 5.9 6.2508
"2002/9/6/6" 6.0 10.3041
"2002/9/6/12" 10.4 7.4939
"2002/9/6/18" 6.2 7.1156
"2002/9/7/0" 3.9 5.6198
"2002/9/7/6" 11.4 9.6604
"2002/9/7/12" 12.7 12.6596
"2002/9/7/18" 16.4 10.5959
"2002/9/8/0" 16.3 8.1698
"2002/9/8/6" 12.9 10.1649
"2002/9/8/12" 12.9 12.7383
"2002/9/8/18" 6.4 4.6010
"2002/9/9/0" 7.1 4.2136
"2002/9/9/6" 9.8 6.8263
"2002/9/9/12" 7.5 8.0815
"2002/9/9/18" 11.1 5.4041
"2002/9/10/0" 8.1 10.1254
"2002/9/10/6" 10.6 5.9367
"2002/9/10/12" 6.8 5.6583
"2002/9/10/18" 3.8 3.3528
"2002/9/11/0" 5.4 0.6725
"2002/9/11/12" 4.2 7.6519
"2002/9/11/18" 5.7 4.8751
"2002/9/12/0" 4.3 4.6791
"2002/9/12/6" 6.8 7.3739
"2002/9/12/12" 6.1 7.8023
"2002/9/12/18" 4.8 1.6493
"2002/9/13/0" 6.0 3.7206
"2002/9/13/6" 5.2 5.5911
"2002/9/13/12" 6.0 4.8085
"2002/9/13/18" 8.0 4.0699
"2002/9/14/0" 6.0 3.2544
"2002/9/14/6" 6.6 5.0463
"2002/9/14/12" 11.6 13.4031
"2002/9/14/18" 8.9 6.8452
"2002/9/15/0" 5.5 3.8229
"2002/9/15/6" 3.2 4.0600
"2002/9/15/12" 8.2 11.2976
"2002/9/15/18" 12.4 6.8994
"2002/9/16/0" 8.9 8.2000
"2002/9/16/6" 9.1 11.4221
"2002/9/16/12" 6.6 10.4966
"2002/9/16/18" 9.4 7.1174
"2002/9/17/0" 14.3 12.7285
"2002/9/17/6" 13.3 14.1575
"2002/9/17/12" 16.4 15.2171
"2002/9/17/18" 15.6 10.2147
"2002/9/18/0" 13.6 10.2674
"2002/9/18/6" 13.3 8.8296
"2002/9/18/12" 12.7 4.3365
"2002/9/18/18" 13.9 9.5479
"2002/9/19/0" 4.3 8.3925
"2002/9/19/6" 16.6 14.7854
"2002/9/19/12" 11.0 12.6493
"2002/9/19/18" 11.2 7.6701
"2002/9/20/0" 4.0 4.3251
"2002/9/20/6" 9.0 5.4751
"2002/9/20/12" 8.9 10.4104
"2002/9/20/18" 14.0 7.2794
"2002/9/21/0" 13.9 14.6043
"2002/9/21/6" 9.9 7.5298
"2002/9/21/12" 10.7 10.8146
"2002/9/21/18" 15.8 8.2117
"2002/9/22/0" 12.3 13.1937
"2002/9/22/6" 12.5 11.0995
"2002/9/22/12" 9.9 10.1515
"2002/9/22/18" 8.8 3.2243
"2002/9/23/0" 1.9 3.1746
"2002/9/23/6" 10.6 8.2344
"2002/9/23/12" 14.7 17.0896
"2002/9/23/18" 12.0 4.3168
"2002/9/24/0" 4.7 0.9957
"2002/9/24/12" 12.0 11.6825
"2002/9/24/18" 12.5 8.2355
"2002/9/25/0" 2.8 2.3782
"2002/9/25/6" 8.2 7.9070
"2002/9/25/12" 8.6 16.8279
"2002/9/25/18" 4.6 8.9022
"2002/9/26/0" 2.0 2.8057
"2002/9/26/6" 8.2 6.0398
"2002/9/26/12" 5.2 4.4374
"2002/9/27/0" 6.0 4.7396
"2002/9/27/6" 6.2 7.6008
"2002/9/27/12" 8.3 8.2973
"2002/9/27/18" 10.3 4.3055
"2002/9/28/0" 8.0 3.5218
"2002/9/28/6" 9.3 5.7158
"2002/9/28/12" 10.7 5.6634
"2002/9/28/18" 9.2 3.3343
"2002/9/29/0" 3.9 2.9188
"2002/9/29/6" 5.3 5.1268
"2002/9/29/12" 9.6 6.8024
"2002/9/29/18" 11.3 7.8506
"2002/9/30/0" 10.6 8.6464
"2002/9/30/6" 10.9 6.8462
"2002/9/30/12" 8.6 9.8196
"2002/9/30/18" 3.6 7.4323
"2002/10/1/0" 7.1 8.4891
"2002/10/1/6" 9.2 8.6510
"2002/10/1/12" 4.8 8.0964
"2002/10/1/18" 12.5 9.2214
"2002/10/2/0" 10.0 10.2596
"2002/10/2/6" 7.4 4.5627
"2002/10/2/12" 7.1 7.3110
"2002/10/2/18" 3.6 0.9889
"2002/10/3/0" 3.5 1.1058
"2002/10/3/6" 2.8 4.0431
"2002/10/3/12" 7.9 6.9432
"2002/10/3/18" 8.7 7.5093
"2002/10/4/0" 5.1 3.3520
"2002/10/4/6" 8.3 10.1256
"2002/10/4/12" 14.1 14.3398
"2002/10/4/18" 13.2 8.3519
"2002/10/5/0" 7.0 3.5350
"2002/10/5/6" 6.7 1.6599
"2002/10/5/12" 5.1 2.8295
"2002/10/5/18" 4.2 1.1415
"2002/10/6/0" 7.4 4.5971
"2002/10/6/6" 3.5 6.2754
"2002/10/6/12" 13.9 14.6698
"2002/10/6/18" 9.6 12.1006
"2002/10/7/0" 6.3 2.6240
"2002/10/7/6" 9.0 9.0909
"2002/10/7/12" 12.2 11.1971
"2002/10/7/18" 8.3 6.9227
"2002/10/8/0" 6.1 7.8468
"2002/10/8/6" 5.6 4.3358
"2002/10/8/12" 10.3 8.4518
"2002/10/8/18" 9.6 6.6517
"2002/10/9/0" 5.3 4.1700
"2002/10/9/6" 2.0 3.3220
"2002/10/9/12" 4.8 11.0008
"2002/10/9/18" 10.4 9.4973
"2002/10/10/0" 8.4 7.5392
"2002/10/10/6" 8.1 7.7157
"2002/10/10/12" 9.5 7.0989
"2002/10/10/18" 11.5 8.2995
"2002/10/11/0" 14.4 11.4231
"2002/10/11/6" 13.5 12.8858
"2002/10/11/12" 11.1 8.6525
"2002/10/11/18" 11.4 8.4722
"2002/10/12/0" 13.4 17.7538
"2002/10/12/6" 12.6 8.9293
"2002/10/12/12" 12.5 10.1986
"2002/10/12/18" 12.2 7.2189
"2002/10/13/0" 10.3 9.5587
"2002/10/13/6" 12.0 8.3460
"2002/10/13/12" 10.5 8.3267
"2002/10/13/18" 7.8 3.8583
"2002/10/14/0" 10.8 7.0148
"2002/10/14/6" 15.0 12.2895
"2002/10/14/12" 6.3 11.4076
"2002/10/14/18" 20.7 17.3427
"2002/10/15/0" 11.5 14.0182
"2002/10/15/6" 9.5 9.7006
"2002/10/15/12" 8.0 6.8550
"2002/10/15/18" 2.2 0.5368
"2002/10/16/0" 2.4 0.9870
"2002/10/16/6" 3.4 3.5466
"2002/10/16/12" 3.1 0.9218
"2002/10/16/18" 3.3 2.8669
"2002/10/17/0" 4.7 5.8691
"2002/10/17/6" 6.5 6.9839
"2002/10/17/12" 8.3 10.2865
"2002/10/17/18" 6.3 3.0436
"2002/10/18/0" 10.7 4.2447
"2002/10/18/6" 9.4 9.7233
"2002/10/18/12" 15.0 14.8181
"2002/10/18/18" 14.2 7.2469
"2002/10/19/0" 10.4 10.2922
"2002/10/19/6" 11.8 6.3410
"2002/10/19/12" 5.4 3.4469
"2002/10/19/18" 7.6 2.9504
"2002/10/20/0" 5.0 5.0548
"2002/10/20/6" 7.5 4.4698
"2002/10/20/12" 8.7 5.1642
"2002/10/20/18" 10.3 6.6448
"2002/10/21/0" 9.6 8.5730
"2002/10/21/6" 9.4 7.2123
"2002/10/21/12" 8.2 6.5161
"2002/10/21/18" 5.1 2.4226
"2002/10/22/0" 6.4 4.7898
"2002/10/22/6" 8.4 7.3278
"2002/10/22/12" 8.3 9.0153
"2002/10/22/18" 7.1 7.0007
"2002/10/23/0" 4.8 6.8720
"2002/10/23/6" 6.3 4.4625
"2002/10/23/12" 4.1 3.6191
"2002/10/23/18" 3.2 2.3544
"2002/10/26/6" 10.7 7.5149
"2002/10/26/12" 10.3 4.7437
"2002/10/26/18" 8.6 2.3153
"2002/10/27/0" 4.3 2.4164
"2002/10/27/6" 2.4 3.0018
"2002/10/27/12" 3.9 4.0300
"2002/10/27/18" 8.4 7.4256
"2002/10/28/0" 11.1 9.2219
"2002/10/28/6" 10.7 9.2338
"2002/10/28/12" 8.3 7.1990
"2002/10/28/18" 7.4 5.4914
"2002/10/29/0" 5.1 3.2162
"2002/10/29/6" 4.0 5.2546
"2002/10/29/12" 8.9 8.5177
"2002/10/29/18" 11.8 12.9027
"2002/10/30/0" 14.4 14.6134
"2002/10/30/6" 14.3 10.7385
"2002/10/30/12" 11.4 11.4866
"2002/10/30/18" 7.2 7.6301
"2002/10/31/0" 5.4 7.2976
"2002/11/2/0" 11.2 9.2529
"2002/11/2/6" 9.5 9.5242
"2002/11/2/12" 5.7 7.2628
"2002/11/2/18" 6.3 4.9052
"2002/11/3/0" 6.2 6.7116
"2002/11/3/6" 9.2 10.5959
"2002/11/3/12" 13.1 9.2106
"2002/11/3/18" 11.6 8.6415
"2002/11/4/0" 7.6 5.9440
"2002/11/4/6" 9.5 3.6768
"2002/11/4/12" 4.8 4.4600
"2002/11/4/18" 11.7 10.3606
"2002/11/5/6" 10.2 7.7350
"2002/11/5/12" 7.1 7.9539
"2002/11/5/18" 11.7 8.6369
"2002/11/6/0" 7.3 7.9322
"2002/11/6/6" 11.0 9.4223
"2002/11/6/12" 9.3 10.3389
"2002/11/6/18" 2.3 2.0221
"2002/11/7/0" 9.1 3.4512
"2002/11/7/6" 12.4 12.3039
"2002/11/7/12" 12.1 11.8824
"2002/11/7/18" 8.6 11.0056
"2002/11/8/0" 8.6 9.5313
"2002/11/8/6" 6.3 8.2463
"2002/11/8/12" 3.6 2.0028
"2002/11/8/18" 6.2 4.0691
"2002/11/9/0" 9.5 5.1456
"2002/11/9/6" 11.3 9.7605
"2002/11/9/12" 7.9 10.8011
"2002/11/9/18" 5.1 10.8976
"2002/11/10/0" 7.5 9.7234
"2002/11/10/6" 11.5 8.6389
"2002/11/10/12" 13.4 11.4076
"2002/11/10/18" 11.2 10.7992
"2002/11/11/0" 7.2 7.6481
"2002/11/11/6" 4.5 3.5504
"2002/11/11/12" 4.4 2.5443
"2002/11/11/18" 6.3 3.8599
"2002/11/12/0" 6.0 3.2983
"2002/11/12/6" 11.3 11.8551
"2002/11/12/12" 9.6 14.0072
"2002/11/12/18" 8.4 8.2700
"2002/11/13/0" 4.4 2.8895
"2002/11/13/6" 5.4 7.1234
"2002/11/13/12" 8.5 8.9184
"2002/11/13/18" 14.2 16.2640
"2002/11/14/0" 10.9 12.0633
"2002/11/14/6" 6.2 5.7880
"2002/11/14/12" 4.0 4.3166
"2002/11/14/18" 4.2 2.7804
"2002/11/15/0" 3.4 2.9146
"2002/11/15/6" 3.9 1.5551
"2002/11/15/12" 6.0 1.7517
"2002/11/15/18" 3.7 3.2896
"2002/11/16/0" 3.7 4.3693
"2002/11/16/6" 6.0 2.3986
"2002/11/16/12" 6.4 4.4554
"2002/11/16/18" 5.8 5.5905
"2002/11/17/0" 7.9 5.9094
"2002/11/17/6" 11.2 9.5121
"2002/11/17/12" 11.0 7.0001
"2002/11/17/18" 8.2 4.9785
"2002/11/18/0" 5.9 5.4113
"2002/11/18/6" 11.6 10.9583
"2002/11/18/12" 9.7 9.7098
"2002/11/18/18" 12.9 9.0426
"2002/11/19/0" 12.4 9.9818
"2002/11/19/6" 12.6 11.5328
"2002/11/19/12" 9.9 10.0108
"2002/11/19/18" 8.2 7.3055
"2002/11/20/0" 9.8 9.3518
"2002/11/20/6" 9.5 11.1599
"2002/11/20/12" 12.1 17.4672
"2002/11/20/18" 10.0 10.4014
"2002/11/21/0" 8.6 9.1797
"2002/11/21/6" 14.8 14.7734
"2002/11/21/12" 10.3 16.2112
"2002/11/21/18" 8.0 6.6311
"2002/11/22/0" 5.2 3.0074
"2002/11/22/6" 5.8 5.7684
"2002/11/22/12" 8.8 10.2071
"2002/11/22/18" 12.1 7.7620
"2002/11/23/0" 11.1 12.6468
"2002/11/23/6" 15.7 13.8303
"2002/11/23/12" 14.5 15.5884
"2002/11/23/18" 14.2 9.9237
"2002/11/24/0" 12.3 14.5345
"2002/11/24/6" 8.8 9.7645
"2002/11/24/12" 6.4 8.8964
"2002/11/24/18" 8.2 6.7409
"2002/11/25/0" 5.9 6.5825
"2002/11/25/6" 5.6 5.6287
"2002/11/25/12" 9.5 5.9171
"2002/11/25/18" 15.3 10.5567
"2002/11/26/0" 11.6 6.0531
"2002/11/26/6" 9.7 7.4824
"2002/11/26/12" 3.9 6.2030
"2002/11/26/18" 1.9 0.5411
"2002/11/27/0" 4.8 2.0999
"2002/11/27/6" 9.5 9.7131
"2002/11/27/12" 7.9 8.7842
"2002/11/27/18" 6.4 7.0573
"2002/11/28/0" 8.9 8.4033
"2002/11/28/6" 8.0 7.6008
"2002/11/28/12" 8.7 7.2817
"2002/11/28/18" 13.4 14.6304
"2002/11/29/0" 16.0 15.8871
"2002/11/29/6" 16.3 14.4395
"2002/11/29/18" 21.4 18.5025
"2002/11/30/0" 17.7 21.2215
"2002/11/30/6" 13.1 10.9579
"2002/11/30/12" 11.1 10.0234
"2002/11/30/18" 8.7 5.6299
