"Date" "CSpd" "RSpd" "RDir" "Bin"
"2002/6/16/18" 6.7 3.1588 161.54 7
"2002/6/17/0" 4.0 1.4974 216.92 9
"2002/6/17/6" 8.7 7.5661 150.71 6
"2002/6/17/12" 7.8 2.0856 196.65 8
"2002/6/17/18" 6.9 4.0834 72.89 3
"2002/6/18/0" 7.7 3.3953 137.35 6
"2002/6/18/6" 9.6 9.2200 139.37 6
"2002/6/18/12" 4.1 5.6227 141.45 6
"2002/6/18/18" 5.3 6.2246 113.65 5
"2002/6/19/0" 2.7 4.5308 43.20 1
"2002/6/19/6" 5.2 5.9602 112.66 5
"2002/6/19/12" 7.9 0.7205 123.34 5
"2002/6/19/18" 5.7 8.9560 303.17 13
"2002/6/20/0" 14.0 12.3111 313.04 13
"2002/6/20/6" 13.8 10.2652 305.10 13
"2002/6/20/12" 8.3 4.1676 329.76 14
"2002/6/20/18" 1.1 2.0869 163.23 7
"2002/6/21/0" 8.3 7.0468 124.57 5
"2002/6/21/6" 10.6 8.6837 147.20 6
"2002/6/21/12" 11.0 8.7360 113.62 5
"2002/6/21/18" 9.6 7.2429 122.56 5
"2002/6/22/0" 10.2 6.7952 122.96 5
"2002/6/22/6" 12.5 9.0616 157.94 7
"2002/6/22/12" 13.8 13.3415 184.71 8
"2002/6/22/18" 6.4 6.1292 185.59 8
"2002/6/23/0" 7.6 5.1456 172.15 7
"2002/6/23/6" 10.7 2.7590 133.45 5
"2002/6/23/12" 9.9 6.4141 100.76 4
"2002/6/23/18" 9.3 2.8307 121.98 5
"2002/6/24/0" 11.0 3.9301 104.68 4
"2002/6/24/6" 8.3 5.2799 204.62 9
"2002/6/24/12" 2.8 2.0081 185.69 8
"2002/6/24/18" 3.5 2.7983 235.13 10
"2002/6/25/0" 4.1 2.3636 53.59 2
"2002/6/25/6" 3.3 3.3714 191.95 8
"2002/6/25/12" 4.4 3.5826 202.98 9
"2002/6/25/18" 0.4 4.4570 289.72 12
"2002/6/26/0" 10.1 11.2218 323.34 14
"2002/6/26/6" 7.8 8.4410 5.46 0
"2002/6/26/12" 4.5 3.6890 12.58 0
"2002/6/26/18" 4.7 1.8014 0.07 0
"2002/6/27/0" 5.5 3.5817 26.61 1
"2002/6/27/6" 4.6 6.2134 104.92 4
"2002/6/27/12" 2.5 5.0994 138.13 6
"2002/6/27/18" 8.9 6.6830 141.06 6
"2002/6/28/0" 9.1 6.8769 139.10 6
"2002/6/28/6" 10.5 10.2044 155.69 6
"2002/6/28/12" 13.6 12.5943 163.84 7
"2002/6/28/18" 15.0 9.2404 166.84 7
"2002/6/29/0" 18.8 12.6972 187.24 8
"2002/6/29/6" 15.4 12.4668 185.98 8
"2002/6/29/12" 13.3 14.9179 195.15 8
"2002/6/29/18" 15.6 11.4320 184.51 8
"2002/6/30/0" 17.2 15.2515 184.88 8
"2002/6/30/6" 18.1 10.0666 195.55 8
"2002/6/30/12" 12.9 8.2267 274.90 12
"2002/6/30/18" 6.8 6.0887 312.38 13
"2002/7/1/0" 2.1 1.7231 54.52 2
"2002/7/1/6" 8.8 9.0261 140.83 6
"2002/7/1/12" 12.7 12.7888 167.80 7
"2002/7/1/18" 10.4 7.1045 272.46 12
"2002/7/2/0" 8.3 8.4028 351.12 15
"2002/7/2/6" 6.4 2.3778 75.34 3
"2002/7/2/12" 6.2 9.7032 90.58 4
"2002/7/2/18" 6.3 2.4366 19.25 0
"2002/7/3/0" 5.1 3.2583 10.65 0
"2002/7/3/6" 5.7 7.1076 13.84 0
"2002/7/3/12" 3.8 6.5478 71.26 3
"2002/7/3/18" 8.8 4.8112 110.64 4
"2002/7/4/0" 9.1 9.5441 123.00 5
"2002/7/4/6" 10.7 10.3082 120.28 5
"2002/7/4/12" 13.6 11.9838 153.20 6
"2002/7/4/18" 17.3 12.1028 165.15 7
"2002/7/5/0" 14.0 13.8088 169.99 7
"2002/7/5/6" 15.9 12.9217 169.29 7
"2002/7/5/12" 13.2 15.6911 200.50 8
"2002/7/5/18" 18.4 12.1236 176.20 7
"2002/7/6/0" 17.5 7.4358 221.18 9
"2002/7/6/6" 9.2 3.8804 191.88 8
"2002/7/6/12" 4.2 1.6106 209.73 9
"2002/7/6/18" 4.2 4.1143 115.90 5
"2002/7/7/0" 7.7 5.4619 118.40 5
"2002/7/7/6" 7.1 8.5441 159.44 7
"2002/7/7/12" 9.6 6.0084 134.29 5
"2002/7/7/18" 8.7 6.1849 165.93 7
"2002/7/8/0" 5.2 3.9096 265.60 11
"2002/7/8/6" 6.9 6.6045 328.00 14
"2002/7/8/12" 7.7 7.2095 357.62 15
"2002/7/8/18" 4.7 2.3135 17.68 0
"2002/7/9/0" 5.9 2.9770 70.37 3
"2002/7/9/6" 8.4 7.4062 106.46 4
"2002/7/9/12" 12.1 5.5351 102.49 4
"2002/7/9/18" 5.1 0.8481 315.22 14
"2002/7/10/0" 5.2 5.6010 0.02 0
"2002/7/10/6" 9.4 7.6602 324.04 14
"2002/7/10/12" 9.8 13.8562 329.19 14
"2002/7/10/18" 15.8 9.2102 311.51 13
"2002/7/11/0" 11.1 12.2039 0.96 0
"2002/7/11/6" 12.4 7.8586 21.66 0
"2002/7/11/12" 8.7 8.0419 21.14 0
"2002/7/11/18" 6.3 4.8876 35.01 1
"2002/7/12/0" 5.1 4.2014 88.60 3
"2002/7/12/6" 5.5 6.1774 150.94 6
"2002/7/12/12" 5.4 5.7288 173.97 7
"2002/7/12/18" 8.6 5.6921 161.55 7
"2002/7/13/0" 5.8 4.4222 142.32 6
"2002/7/13/6" 6.7 7.9049 177.79 7
"2002/7/13/12" 9.6 10.6712 192.98 8
"2002/7/13/18" 7.8 5.0459 171.99 7
"2002/7/14/0" 7.1 4.5208 144.85 6
"2002/7/14/6" 7.6 8.6945 160.52 7
"2002/7/14/12" 9.1 8.2062 182.77 8
"2002/7/14/18" 9.9 6.5217 144.34 6
"2002/7/15/0" 10.6 8.1841 153.11 6
"2002/7/15/6" 13.2 10.6015 164.12 7
"2002/7/15/12" 11.4 12.4963 196.26 8
"2002/7/15/18" 11.5 10.2147 168.12 7
"2002/7/16/0" 12.7 11.2361 175.38 7
"2002/7/16/6" 13.7 10.6966 180.53 8
"2002/7/16/12" 9.8 14.0596 213.69 9
"2002/7/16/18" 7.2 4.3643 164.02 7
"2002/7/17/6" 8.8 5.8322 157.79 7
"2002/7/17/12" 7.4 5.0977 214.61 9
"2002/7/17/18" 10.8 4.7559 81.50 3
"2002/7/18/0" 14.3 5.7494 103.05 4
"2002/7/18/6" 8.9 6.3710 112.10 4
"2002/7/18/12" 11.5 3.6268 50.63 2
"2002/7/18/18" 9.3 0.8632 54.50 2
"2002/7/19/0" 5.0 3.0017 53.12 2
"2002/7/19/6" 6.2 6.1177 86.25 3
"2002/7/19/12" 4.1 4.9949 57.23 2
"2002/7/19/18" 7.4 6.3400 96.32 4
"2002/7/20/0" 8.2 5.6438 119.74 5
"2002/7/20/6" 10.4 8.2332 130.06 5
"2002/7/20/12" 6.1 5.5127 202.38 8
"2002/7/20/18" 4.3 2.6233 287.83 12
"2002/7/21/0" 2.8 5.8664 330.42 14
"2002/7/21/6" 5.0 5.6150 355.96 15
"2002/7/21/12" 8.9 9.7049 1.20 0
"2002/7/21/18" 7.0 8.4154 342.02 15
"2002/7/22/0" 3.0 6.8882 350.84 15
"2002/7/22/6" 10.2 6.5001 306.90 13
"2002/7/22/12" 10.8 8.1836 321.47 14
"2002/7/22/18" 7.1 4.6149 330.17 14
"2002/7/23/0" 5.4 5.8686 29.61 1
"2002/7/23/6" 5.2 7.5504 101.45 4
"2002/7/23/12" 4.2 6.2151 154.22 6
"2002/7/23/18" 9.8 9.2966 139.77 6
"2002/7/24/0" 10.9 9.1943 134.09 5
"2002/7/24/6" 13.9 6.7938 146.99 6
"2002/7/24/12" 9.4 8.8169 176.09 7
"2002/7/24/18" 5.1 4.4977 179.97 7
"2002/7/25/0" 4.2 0.4967 217.13 9
"2002/7/25/6" 9.6 3.3219 313.83 13
"2002/7/25/12" 6.2 3.9671 303.75 13
"2002/7/25/18" 5.2 3.8558 253.48 11
"2002/7/26/0" 4.8 5.6184 264.93 11
"2002/7/26/6" 4.4 5.3100 250.22 11
"2002/7/26/12" 7.8 9.3720 236.31 10
"2002/7/26/18" 9.0 9.2636 223.68 9
"2002/7/27/0" 8.1 6.6463 164.27 7
"2002/7/27/6" 10.2 6.1807 189.27 8
"2002/7/27/12" 5.6 9.2079 237.88 10
"2002/7/27/18" 5.4 4.8375 277.15 12
"2002/7/28/0" 5.3 5.8893 310.21 13
"2002/7/28/6" 7.9 4.7797 70.38 3
"2002/7/28/12" 7.0 8.6805 27.46 1
"2002/7/28/18" 5.0 2.2834 52.08 2
"2002/7/29/0" 4.4 2.1955 330.04 14
"2002/7/29/6" 2.7 0.7050 261.98 11
"2002/7/29/12" 6.1 5.1815 250.89 11
"2002/7/29/18" 5.8 6.4170 217.41 9
"2002/7/30/0" 7.9 8.2344 280.52 12
"2002/7/30/6" 5.8 2.0797 125.14 5
"2002/7/30/12" 5.5 1.7690 132.59 5
"2002/7/30/18" 8.2 7.4445 36.25 1
"2002/7/31/0" 7.6 6.1566 97.46 4
"2002/7/31/6" 10.6 8.8220 128.53 5
"2002/7/31/12" 7.2 3.9621 134.95 5
"2002/7/31/18" 8.9 1.8845 211.89 9
"2002/8/1/0" 6.6 3.7210 23.84 1
"2002/8/1/6" 13.1 10.3606 353.93 15
"2002/8/1/12" 15.2 21.5272 344.10 15
"2002/8/1/18" 12.8 7.8881 309.35 13
"2002/8/2/0" 8.5 7.6693 320.33 14
"2002/8/2/6" 4.7 2.0262 339.85 15
"2002/8/2/12" 2.4 0.2221 206.30 9
"2002/8/2/18" 8.1 11.5424 142.02 6
"2002/8/3/0" 11.9 9.6881 148.92 6
"2002/8/3/6" 13.8 13.2352 154.00 6
"2002/8/3/12" 14.1 10.0731 155.96 6
"2002/8/3/18" 4.4 4.2373 225.00 10
"2002/8/4/0" 8.7 8.0640 348.56 15
"2002/8/4/6" 11.7 8.6384 20.33 0
"2002/8/4/12" 9.1 11.4211 17.34 0
"2002/8/4/18" 11.6 6.1669 41.72 1
"2002/8/5/0" 9.7 6.8454 64.93 2
"2002/8/5/6" 8.9 6.2809 80.84 3
"2002/8/5/12" 9.9 7.6808 81.76 3
"2002/8/5/18" 11.9 7.2060 91.58 4
"2002/8/6/0" 11.2 9.8646 96.38 4
"2002/8/6/6" 11.4 10.3187 106.30 4
"2002/8/6/12" 14.2 7.8105 140.18 6
"2002/8/6/18" 9.2 9.9549 146.46 6
"2002/8/7/0" 11.6 8.3251 151.26 6
"2002/8/7/6" 14.6 11.5048 155.87 6
"2002/8/7/12" 14.3 14.4600 196.05 8
"2002/8/8/12" 12.2 12.8858 189.83 8
"2002/8/8/18" 8.3 6.2357 164.17 7
"2002/8/9/0" 12.0 6.8073 183.33 8
"2002/8/9/6" 12.1 3.1874 212.15 9
"2002/8/9/12" 8.7 8.3400 283.90 12
"2002/8/9/18" 6.6 5.7390 292.59 13
"2002/8/10/0" 6.6 7.9220 274.36 12
"2002/8/10/6" 12.0 9.7398 264.70 11
"2002/8/10/12" 12.3 13.6352 274.21 12
"2002/8/10/18" 11.6 9.2942 258.22 11
"2002/8/11/0" 5.3 4.3920 311.32 13
"2002/8/11/6" 6.9 4.1190 174.42 7
"2002/8/11/12" 10.5 9.9016 181.15 8
"2002/8/11/18" 8.5 7.3055 182.35 8
"2002/8/12/0" 5.6 3.2652 203.42 9
"2002/8/12/6" 11.3 10.7823 331.79 14
"2002/8/12/12" 11.3 14.9196 314.75 13
"2002/8/12/18" 11.9 9.3617 283.62 12
"2002/8/13/0" 6.7 8.2217 311.09 13
"2002/8/13/6" 6.6 4.6036 304.42 13
"2002/8/13/12" 5.4 5.0589 299.64 13
"2002/8/13/18" 6.7 3.4998 270.04 12
"2002/8/14/0" 8.7 3.7150 246.20 10
"2002/8/14/6" 10.1 8.4961 208.08 9
"2002/8/14/12" 9.0 9.6626 245.55 10
"2002/8/14/18" 4.7 4.2435 194.97 8
"2002/8/15/0" 4.0 4.5971 314.15 13
"2002/8/15/6" 8.0 4.6564 8.68 0
"2002/8/15/12" 12.0 13.9688 310.67 13
"2002/8/15/18" 12.6 7.2988 283.47 12
"2002/9/1/0" 12.8 9.7852 172.35 7
"2002/9/1/6" 12.1 8.0923 207.18 9
"2002/9/1/12" 5.1 3.3266 96.84 4
"2002/9/1/18" 6.1 3.1373 210.66 9
"2002/9/2/0" 8.0 0.6100 99.29 4
"2002/9/2/6" 11.0 6.6995 217.73 9
"2002/9/2/12" 14.6 16.9677 336.02 14
"2002/9/2/18" 14.8 10.0819 300.40 13
"2002/9/3/0" 10.6 9.5594 307.37 13
"2002/9/3/6" 6.7 6.1269 241.80 10
"2002/9/3/12" 6.3 10.0151 207.33 9
"2002/9/3/18" 8.3 8.7322 185.25 8
"2002/9/4/0" 10.8 10.0037 177.71 7
"2002/9/4/6" 12.8 12.3131 177.20 7
"2002/9/4/12" 14.4 13.9138 177.11 7
"2002/9/4/18" 15.2 11.6049 178.02 7
"2002/9/5/0" 13.8 10.5013 178.89 7
"2002/9/5/6" 11.7 10.0145 194.44 8
"2002/9/5/12" 9.2 7.7741 197.95 8
"2002/9/5/18" 7.0 6.6374 198.43 8
"2002/9/6/0" 5.9 6.2508 129.77 5
"2002/9/6/6" 6.0 10.3041 165.95 7
"2002/9/6/12" 10.4 7.4939 148.62 6
"2002/9/6/18" 6.2 7.1156 175.96 7
"2002/9/7/0" 3.9 5.6198 218.52 9
"2002/9/7/6" 11.4 9.6604 173.46 7
"2002/9/7/12" 12.7 12.6596 204.74 9
"2002/9/7/18" 16.4 10.5959 180.53 8
"2002/9/8/0" 16.3 8.1698 187.71 8
"2002/9/8/6" 12.9 10.1649 164.58 7
"2002/9/8/12" 12.9 12.7383 202.14 8
"2002/9/8/18" 6.4 4.6010 235.62 10
"2002/9/9/0" 7.1 4.2136 247.68 11
"2002/9/9/6" 9.8 6.8263 328.21 14
"2002/9/9/12" 7.5 8.0815 15.09 0
"2002/9/9/18" 11.1 5.4041 0.02 0
"2002/9/10/0" 8.1 10.1254 3.98 0
"2002/9/10/6" 10.6 5.9367 315.03 14
"2002/9/10/12" 6.8 5.6583 315.03 14
"2002/9/10/18" 3.8 3.3528 280.34 12
"2002/9/11/0" 5.4 0.6725 333.52 14
"2002/9/11/12" 4.2 7.6519 197.46 8
"2002/9/11/18" 5.7 4.8751 195.44 8
"2002/9/12/0" 4.3 4.6791 200.00 8
"2002/9/12/6" 6.8 7.3739 195.72 8
"2002/9/12/12" 6.1 7.8023 210.83 9
"2002/9/12/18" 4.8 1.6493 165.94 7
"2002/9/13/0" 6.0 3.7206 149.25 6
"2002/9/13/6" 5.2 5.5911 137.16 6
"2002/9/13/12" 6.0 4.8085 159.29 7
"2002/9/13/18" 8.0 4.0699 117.79 5
"2002/9/14/0" 6.0 3.2544 162.10 7
"2002/9/14/6" 6.6 5.0463 303.75 13
"2002/9/14/12" 11.6 13.4031 359.15 15
"2002/9/14/18" 8.9 6.8452 333.10 14
"2002/9/15/0" 5.5 3.8229 6.01 0
"2002/9/15/6" 3.2 4.0600 141.96 6
"2002/9/15/12" 8.2 11.2976 181.01 8
"2002/9/15/18" 12.4 6.8994 181.65 8
"2002/9/16/0" 8.9 8.2000 170.86 7
"2002/9/16/6" 9.1 11.4221 203.19 9
"2002/9/16/12" 6.6 10.4966 220.35 9
"2002/9/16/18" 9.4 7.1174 169.46 7
"2002/9/17/0" 14.3 12.7285 184.05 8
"2002/9/17/6" 13.3 14.1575 174.72 7
"2002/9/17/12" 16.4 15.2171 191.74 8
"2002/9/17/18" 15.6 10.2147 168.12 7
"2002/9/18/0" 13.6 10.2674 157.66 7
"2002/9/18/6" 13.3 8.8296 166.89 7
"2002/9/18/12" 12.7 4.3365 194.65 8
"2002/9/18/18" 13.9 9.5479 259.77 11
"2002/9/19/0" 4.3 8.3925 291.69 12
"2002/9/19/6" 16.6 14.7854 316.93 14
"2002/9/19/12" 11.0 12.6493 337.70 15
"2002/9/19/18" 11.2 7.6701 337.82 15
"2002/9/20/0" 4.0 4.3251 326.35 14
"2002/9/20/6" 9.0 5.4751 201.41 8
"2002/9/20/12" 8.9 10.4104 221.49 9
"2002/9/20/18" 14.0 7.2794 307.20 13
"2002/9/21/0" 13.9 14.6043 323.93 14
"2002/9/21/6" 9.9 7.5298 309.65 13
"2002/9/21/12" 10.7 10.8146 287.78 12
"2002/9/21/18" 15.8 8.2117 266.53 11
"2002/9/22/0" 12.3 13.1937 296.58 13
"2002/9/22/6" 12.5 11.0995 288.93 12
"2002/9/22/12" 9.9 10.1515 296.33 13
"2002/9/22/18" 8.8 3.2243 240.25 10
"2002/9/23/0" 1.9 3.1746 257.30 11
"2002/9/23/6" 10.6 8.2344 280.52 12
"2002/9/23/12" 14.7 17.0896 325.01 14
"2002/9/23/18" 12.0 4.3168 312.21 13
"2002/9/24/0" 4.7 0.9957 270.13 12
"2002/9/24/12" 12.0 11.6825 173.10 7
"2002/9/24/18" 12.5 8.2355 185.57 8
"2002/9/25/0" 2.8 2.3782 292.34 12
"2002/9/25/6" 8.2 7.9070 18.45 0
"2002/9/25/12" 8.6 16.8279 21.99 0
"2002/9/25/18" 4.6 8.9022 359.37 15
"2002/9/26/0" 2.0 2.8057 357.99 15
"2002/9/26/6" 8.2 6.0398 263.36 11
"2002/9/26/12" 5.2 4.4374 262.26 11
"2002/9/27/0" 6.0 4.7396 134.10 5
"2002/9/27/6" 6.2 7.6008 147.32 6
"2002/9/27/12" 8.3 8.2973 179.98 7
"2002/9/27/18" 10.3 4.3055 120.72 5
"2002/9/28/0" 8.0 3.5218 124.57 5
"2002/9/28/6" 9.3 5.7158 85.98 3
"2002/9/28/12" 10.7 5.6634 43.56 1
"2002/9/28/18" 9.2 3.3343 48.62 2
"2002/9/29/0" 3.9 2.9188 67.84 3
"2002/9/29/6" 5.3 5.1268 159.43 7
"2002/9/29/12" 9.6 6.8024 182.53 8
"2002/9/29/18" 11.3 7.8506 173.39 7
"2002/9/30/0" 10.6 8.6464 185.97 8
"2002/9/30/6" 10.9 6.8462 208.80 9
"2002/9/30/12" 8.6 9.8196 255.27 11
"2002/9/30/18" 3.6 7.4323 287.25 12
"2002/10/1/0" 7.1 8.4891 325.57 14
"2002/10/1/6" 9.2 8.6510 354.03 15
"2002/10/1/12" 4.8 8.0964 332.83 14
"2002/10/1/18" 12.5 9.2214 347.49 15
"2002/10/2/0" 10.0 10.2596 349.91 15
"2002/10/2/6" 7.4 4.5627 15.27 0
"2002/10/2/12" 7.1 7.3110 16.72 0
"2002/10/2/18" 3.6 0.9889 66.10 2
"2002/10/3/0" 3.5 1.1058 84.66 3
"2002/10/3/6" 2.8 4.0431 188.50 8
"2002/10/3/12" 7.9 6.9432 173.36 7
"2002/10/3/18" 8.7 7.5093 170.01 7
"2002/10/4/0" 5.1 3.3520 190.27 8
"2002/10/4/6" 8.3 10.1256 343.38 15
"2002/10/4/12" 14.1 14.3398 347.53 15
"2002/10/4/18" 13.2 8.3519 301.80 13
"2002/10/5/0" 7.0 3.5350 331.33 14
"2002/10/5/6" 6.7 1.6599 64.95 2
"2002/10/5/12" 5.1 2.8295 227.89 10
"2002/10/5/18" 4.2 1.1415 142.00 6
"2002/10/6/0" 7.4 4.5971 135.85 6
"2002/10/6/6" 3.5 6.2754 292.50 13
"2002/10/6/12" 13.9 14.6698 296.75 13
"2002/10/6/18" 9.6 12.1006 317.36 14
"2002/10/7/0" 6.3 2.6240 310.40 13
"2002/10/7/6" 9.0 9.0909 188.21 8
"2002/10/7/12" 12.2 11.1971 240.01 10
"2002/10/7/18" 8.3 6.9227 274.99 12
"2002/10/8/0" 6.1 7.8468 314.50 13
"2002/10/8/6" 5.6 4.3358 341.18 15
"2002/10/8/12" 10.3 8.4518 309.75 13
"2002/10/8/18" 9.6 6.6517 317.45 14
"2002/10/9/0" 5.3 4.1700 316.02 14
"2002/10/9/6" 2.0 3.3220 186.85 8
"2002/10/9/12" 4.8 11.0008 172.14 7
"2002/10/9/18" 10.4 9.4973 180.59 8
"2002/10/10/0" 8.4 7.5392 173.88 7
"2002/10/10/6" 8.1 7.7157 196.56 8
"2002/10/10/12" 9.5 7.0989 189.71 8
"2002/10/10/18" 11.5 8.2995 170.97 7
"2002/10/11/0" 14.4 11.4231 171.44 7
"2002/10/11/6" 13.5 12.8858 189.83 8
"2002/10/11/12" 11.1 8.6525 229.70 10
"2002/10/11/18" 11.4 8.4722 300.51 13
"2002/10/12/0" 13.4 17.7538 332.87 14
"2002/10/12/6" 12.6 8.9293 311.38 13
"2002/10/12/12" 12.5 10.1986 333.20 14
"2002/10/12/18" 12.2 7.2189 306.57 13
"2002/10/13/0" 10.3 9.5587 312.05 13
"2002/10/13/6" 12.0 8.3460 263.81 11
"2002/10/13/12" 10.5 8.3267 265.19 11
"2002/10/13/18" 7.8 3.8583 201.25 8
"2002/10/14/0" 10.8 7.0148 184.06 8
"2002/10/14/6" 15.0 12.2895 187.01 8
"2002/10/14/12" 6.3 11.4076 272.52 12
"2002/10/14/18" 20.7 17.3427 305.62 13
"2002/10/15/0" 11.5 14.0182 317.91 14
"2002/10/15/6" 9.5 9.7006 307.48 13
"2002/10/15/12" 8.0 6.8550 336.82 14
"2002/10/15/18" 2.2 0.5368 157.70 7
"2002/10/16/0" 2.4 0.9870 336.35 14
"2002/10/16/6" 3.4 3.5466 130.34 5
"2002/10/16/12" 3.1 0.9218 139.23 6
"2002/10/16/18" 3.3 2.8669 347.97 15
"2002/10/17/0" 4.7 5.8691 314.37 13
"2002/10/17/6" 6.5 6.9839 279.07 12
"2002/10/17/12" 8.3 10.2865 296.58 13
"2002/10/17/18" 6.3 3.0436 228.96 10
"2002/10/18/0" 10.7 4.2447 164.97 7
"2002/10/18/6" 9.4 9.7233 265.88 11
"2002/10/18/12" 15.0 14.8181 310.90 13
"2002/10/18/18" 14.2 7.2469 320.61 14
"2002/10/19/0" 10.4 10.2922 344.22 15
"2002/10/19/6" 11.8 6.3410 322.07 14
"2002/10/19/12" 5.4 3.4469 330.52 14
"2002/10/19/18" 7.6 2.9504 208.29 9
"2002/10/20/0" 5.0 5.0548 204.53 9
"2002/10/20/6" 7.5 4.4698 169.65 7
"2002/10/20/12" 8.7 5.1642 98.90 4
"2002/10/20/18" 10.3 6.6448 52.95 2
"2002/10/21/0" 9.6 8.5730 41.69 1
"2002/10/21/6" 9.4 7.2123 23.71 1
"2002/10/21/12" 8.2 6.5161 17.90 0
"2002/10/21/18" 5.1 2.4226 60.26 2
"2002/10/22/0" 6.4 4.7898 79.12 3
"2002/10/22/6" 8.4 7.3278 51.09 2
"2002/10/22/12" 8.3 9.0153 33.69 1
"2002/10/22/18" 7.1 7.0007 30.95 1
"2002/10/23/0" 4.8 6.8720 16.07 0
"2002/10/23/6" 6.3 4.4625 42.26 1
"2002/10/23/12" 4.1 3.6191 14.47 0
"2002/10/23/18" 3.2 2.3544 77.71 3
"2002/10/26/6" 10.7 7.5149 310.70 13
"2002/10/26/12" 10.3 4.7437 312.46 13
"2002/10/26/18" 8.6 2.3153 262.56 11
"2002/10/27/0" 4.3 2.4164 294.45 13
"2002/10/27/6" 2.4 3.0018 149.94 6
"2002/10/27/12" 3.9 4.0300 172.85 7
"2002/10/27/18" 8.4 7.4256 154.45 6
"2002/10/28/0" 11.1 9.2219 170.61 7
"2002/10/28/6" 10.7 9.2338 184.96 8
"2002/10/28/12" 8.3 7.1990 170.39 7
"2002/10/28/18" 7.4 5.4914 169.51 7
"2002/10/29/0" 5.1 3.2162 95.35 4
"2002/10/29/6" 4.0 5.2546 40.37 1
"2002/10/29/12" 8.9 8.5177 15.67 0
"2002/10/29/18" 11.8 12.9027 0.01 0
"2002/10/30/0" 14.4 14.6134 2.36 0
"2002/10/30/6" 14.3 10.7385 355.19 15
"2002/10/30/12" 11.4 11.4866 353.01 15
"2002/10/30/18" 7.2 7.6301 349.44 15
"2002/10/31/0" 5.4 7.2976 326.77 14
"2002/11/2/0" 11.2 9.2529 263.82 11
"2002/11/2/6" 9.5 9.5242 249.09 11
"2002/11/2/12" 5.7 7.2628 292.71 13
"2002/11/2/18" 6.3 4.9052 266.50 11
"2002/11/3/0" 6.2 6.7116 245.35 10
"2002/11/3/6" 9.2 10.5959 269.47 11
"2002/11/3/12" 13.1 9.2106 318.53 14
"2002/11/3/18" 11.6 8.6415 293.92 13
"2002/11/4/0" 7.6 5.9440 323.93 14
"2002/11/4/6" 9.5 3.6768 227.22 10
"2002/11/4/12" 4.8 4.4600 195.57 8
"2002/11/4/18" 11.7 10.3606 157.87 7
"2002/11/5/6" 10.2 7.7350 212.85 9
"2002/11/5/12" 7.1 7.9539 284.58 12
"2002/11/5/18" 11.7 8.6369 312.21 13
"2002/11/6/0" 7.3 7.9322 303.70 13
"2002/11/6/6" 11.0 9.4223 274.28 12
"2002/11/6/12" 9.3 10.3389 307.55 13
"2002/11/6/18" 2.3 2.0221 302.99 13
"2002/11/7/0" 9.1 3.4512 189.97 8
"2002/11/7/6" 12.4 12.3039 223.69 9
"2002/11/7/12" 12.1 11.8824 239.11 10
"2002/11/7/18" 8.6 11.0056 272.09 12
"2002/11/8/0" 8.6 9.5313 260.34 11
"2002/11/8/6" 6.3 8.2463 276.29 12
"2002/11/8/12" 3.6 2.0028 0.07 0
"2002/11/8/18" 6.2 4.0691 155.29 6
"2002/11/9/0" 9.5 5.1456 172.15 7
"2002/11/9/6" 11.3 9.7605 240.54 10
"2002/11/9/12" 7.9 10.8011 271.62 12
"2002/11/9/18" 5.1 10.8976 270.01 12
"2002/11/10/0" 7.5 9.7234 284.91 12
"2002/11/10/6" 11.5 8.6389 307.03 13
"2002/11/10/12" 13.4 11.4076 328.27 14
"2002/11/10/18" 11.2 10.7992 323.67 14
"2002/11/11/0" 7.2 7.6481 332.77 14
"2002/11/11/6" 4.5 3.5504 327.69 14
"2002/11/11/12" 4.4 2.5443 315.07 14
"2002/11/11/18" 6.3 3.8599 291.32 12
"2002/11/12/0" 6.0 3.2983 270.04 12
"2002/11/12/6" 11.3 11.8551 245.61 10
"2002/11/12/12" 9.6 14.0072 279.87 12
"2002/11/12/18" 8.4 8.2700 296.59 13
"2002/11/13/0" 4.4 2.8895 346.02 15
"2002/11/13/6" 5.4 7.1234 175.15 7
"2002/11/13/12" 8.5 8.9184 227.73 10
"2002/11/13/18" 14.2 16.2640 286.44 12
"2002/11/14/0" 10.9 12.0633 319.73 14
"2002/11/14/6" 6.2 5.7880 350.09 15
"2002/11/14/12" 4.0 4.3166 346.66 15
"2002/11/14/18" 4.2 2.7804 307.71 13
"2002/11/15/0" 3.4 2.9146 292.19 12
"2002/11/15/6" 3.9 1.5551 345.25 15
"2002/11/15/12" 6.0 1.7517 66.35 2
"2002/11/15/18" 3.7 3.2896 340.53 15
"2002/11/16/0" 3.7 4.3693 339.93 15
"2002/11/16/6" 6.0 2.3986 225.00 10
"2002/11/16/12" 6.4 4.4554 250.34 11
"2002/11/16/18" 5.8 5.5905 208.86 9
"2002/11/17/0" 7.9 5.9094 198.73 8
"2002/11/17/6" 11.2 9.5121 192.13 8
"2002/11/17/12" 11.0 7.0001 181.63 8
"2002/11/17/18" 8.2 4.9785 218.47 9
"2002/11/18/0" 5.9 5.4113 286.14 12
"2002/11/18/6" 11.6 10.9583 297.75 13
"2002/11/18/12" 9.7 9.7098 327.63 14
"2002/11/18/18" 12.9 9.0426 264.29 11
"2002/11/19/0" 12.4 9.9818 280.99 12
"2002/11/19/6" 12.6 11.5328 274.50 12
"2002/11/19/12" 9.9 10.0108 304.02 13
"2002/11/19/18" 8.2 7.3055 267.65 11
